,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Austria,#N/A,#N/A,#N/A,#N/A,113,#N/A,128,#N/A,143,#N/A,#N/A,172,#N/A,,Biotech firms
Belgium,#N/A,#N/A,#N/A,#N/A,#N/A,249,#N/A,273,#N/A,252,#N/A,279,#N/A,,Biotech R&D firms
Brazil (*),#N/A,#N/A,#N/A,#N/A,#N/A,160,#N/A,#N/A,309,#N/A,#N/A,190,#N/A,,Biotech R&D firms
Czech Republic,72,78,95,89,103,109,124,109,113,126,120,117,114,,Biotech R&D firms
Denmark,#N/A,124,#N/A,157,#N/A,127,#N/A,134,#N/A,123,#N/A,214,#N/A,,Biotech R&D firms
Estonia,#N/A,#N/A,30,38,45,45,42,42,31,27,35,38,35,,Biotech R&D firms
Finland,#N/A,141,#N/A,#N/A,#N/A,157,#N/A,#N/A,#N/A,170,#N/A,#N/A,#N/A,,Biotech R&D firms
France,#N/A,#N/A,1068,1379,1631,1638,1944,1884,1805,1882,2011,2082,2083,,Biotech R&D firms
Germany,551,587,593,645,663,678,693,700,710,726,752,787,820,,Biotech firms
Ireland,#N/A,#N/A,#N/A,167,#N/A,237,#N/A,126,#N/A,101,#N/A,112,#N/A,,Biotech R&D firms
Italy,#N/A,#N/A,398,425,457,488,499,517,524,526,#N/A,#N/A,#N/A,,Biotech R&D firms
Italy (*),,,478,505,539,569,588,606,632,655,694,700,701,696,Biotech firms
Korea,#N/A,#N/A,833,836,870,890,935,939,944,948,940,946,957,,Biotech firms
Latvia (*),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,12,5,,Biotech R&D firms
Lithuania,27,30,36,39,42,47,52,60,69,72,78,82,91,102,Biotech firms
Mexico (*),#N/A,#N/A,#N/A,#N/A,#N/A,406,#N/A,154.2441,#N/A,329,426,#N/A,#N/A,,Biotech firms
Norway,#N/A,161,#N/A,173,192,182,184,200,225,268,288,288,261,,Biotech R&D firms
Poland,#N/A,#N/A,21,37,74,91,90,122,126,160,184,188,208,,Biotech firms
Portugal,#N/A,89,120,105,121,151,134,131,151,159,151,176,197,,Biotech R&D firms
Slovak Republic,#N/A,#N/A,#N/A,11,15,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,Biotech R&D firms
Slovenia,#N/A,#N/A,10,17,24,33,36,36,24,28,35,30,30,,Biotech R&D firms
Spain,#N/A,#N/A,1181,1521,1715,3025,3070,2831,2742,2981,2767.4,#N/A,#N/A,,Biotech firms
Spain,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1056.3,1133,,Biotech R&D firms
Sweden (*),#N/A,#N/A,#N/A,100,#N/A,94,#N/A,105,#N/A,133,#N/A,#N/A,#N/A,,Biotech R&D firms
Switzerland,#N/A,#N/A,288,#N/A,#N/A,#N/A,233,#N/A,#N/A,265,#N/A,282,#N/A,,Biotech R&D firms
United States (*),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2673,3418,2562,1772,2470,,Biotech R&D firms
